id,rs,mvol,bd,porosity,clay,org,ra,paper,climate,vegetation,treatment,hydro_alpha,hydro_n,hydro_thetaS,hydro_thetaR,mp
Exclu,0.2,0.09,1.47,0.445283019,0.1,0.0233,0.014719905,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,5433.170772
Exclu,0.2,0.09,1.47,0.445283019,0.1,0.0233,0.007032181,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,5433.170772
Exclu,0.18,0.08,1.47,0.445283019,0.1,0.0233,0.060250298,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,7562.735837
Exclu,0.22,0.1,1.47,0.445283019,0.1,0.0233,0.040926699,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,4035.785199
Exclu,0.25,0.11,1.47,0.445283019,0.1,0.0233,0.07023242,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,3078.973912
Exclu,0.22,0.1,1.47,0.445283019,0.1,0.0233,0.086174017,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,4035.785199
Exclu,0.25,0.11,1.47,0.445283019,0.1,0.0233,0.104901669,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,3078.973912
Exclu,0.2,0.09,1.47,0.445283019,0.1,0.0233,0.154454708,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,5433.170772
Exclu,0.22,0.1,1.47,0.445283019,0.1,0.0233,0.241284267,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,4035.785199
Exclu,0.27,0.12,1.47,0.445283019,0.1,0.0233,0.305289035,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,2400.683674
Exclu,0.31,0.14,1.47,0.445283019,0.1,0.0233,0.270947557,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,1535.702989
Exclu,0.45,0.2,1.47,0.445283019,0.1,0.0233,0.920634684,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,516.2368698
Exclu,0.47,0.21,1.47,0.445283019,0.1,0.0233,1,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,439.7782883
Exclu,0.61,0.27,1.47,0.445283019,0.1,0.0233,0.979871871,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,174.7787544
Exclu,0.74,0.33,1.47,0.445283019,0.1,0.0233,0.168817044,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,62.43266948
Exclu,0.79,0.35,1.47,0.445283019,0.1,0.0233,0.225312872,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,39.7025559
Exclu,0.81,0.36,1.47,0.445283019,0.1,0.0233,0.247675804,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,30.06356136
Fog1,0.34,0.14,1.54,0.418867925,0.09,0.028,0.16,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,12266.20212
Fog1,0.35,0.15,1.54,0.418867925,0.09,0.028,0.16,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,10545.71676
Fog1,0.35,0.15,1.54,0.418867925,0.09,0.028,0.22,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,10261.5577
Fog1,0.36,0.15,1.54,0.418867925,0.09,0.028,0.24,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,8691.371736
Fog1,0.37,0.16,1.54,0.418867925,0.09,0.028,0.27,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,7422.540786
